,target,item_id
2021-01-01 00:00:00,-1.3378,A
2021-01-01 01:00:00,-1.6111,A
2021-01-01 02:00:00,-1.9259,A
2021-01-01 03:00:00,-1.9184,A
2021-01-01 04:00:00,-1.9168,A
2021-01-01 05:00:00,-1.9681,A
2021-01-01 06:00:00,-1.7846,A
2021-01-01 07:00:00,-1.5927,A
2021-01-01 08:00:00,-1.2477,A
2021-01-01 09:00:00,-0.9560,A
2021-01-01 10:00:00,-0.5371,A
2021-01-01 11:00:00,-0.0635,A
2021-01-01 12:00:00,0.2484,A
2021-01-01 13:00:00,0.6201,A
2021-01-01 14:00:00,0.5023,A
2021-01-01 15:00:00,1.0044,A
2021-01-01 16:00:00,0.8535,A
2021-01-01 17:00:00,0.8180,A
2021-01-01 18:00:00,0.8154,A
2021-01-01 19:00:00,0.7080,A
2021-01-01 20:00:00,0.6353,A
2021-01-01 21:00:00,0.2325,A
2021-01-01 22:00:00,-0.0448,A
2021-01-01 23:00:00,-0.2539,A
2021-01-02 00:00:00,-0.5301,A
2021-01-02 01:00:00,-0.5604,A
2021-01-02 02:00:00,-0.8344,A
2021-01-02 03:00:00,-0.5720,A
2021-01-02 04:00:00,-0.5604,A
2021-01-02 05:00:00,-0.4882,A
2021-01-02 06:00:00,-0.2409,A
2021-01-02 07:00:00,0.0567,A
2021-01-02 08:00:00,0.3953,A
2021-01-02 09:00:00,0.7209,A
2021-01-02 10:00:00,0.9360,A
2021-01-02 11:00:00,1.1985,A
2021-01-02 12:00:00,1.4179,A
2021-01-02 13:00:00,1.6294,A
2021-01-02 14:00:00,1.6792,A
2021-01-02 15:00:00,1.5665,A
2021-01-02 16:00:00,1.4542,A
2021-01-02 17:00:00,1.3784,A
2021-01-02 18:00:00,1.0784,A
2021-01-02 19:00:00,0.7094,A
2021-01-02 20:00:00,0.3757,A
2021-01-02 21:00:00,0.1000,A
2021-01-02 22:00:00,-0.3805,A
2021-01-02 23:00:00,-0.9351,A
2021-01-03 00:00:00,-1.2102,A
2021-01-03 01:00:00,-1.5725,A
2021-01-03 02:00:00,-1.6813,A
2021-01-03 03:00:00,-1.8947,A
2021-01-03 04:00:00,-2.0547,A
2021-01-03 05:00:00,-1.7722,A
2021-01-03 06:00:00,-1.7434,A
2021-01-03 07:00:00,-1.5327,A
2021-01-03 08:00:00,-1.2614,A
2021-01-03 09:00:00,-0.8945,A
2021-01-03 10:00:00,-0.3998,A
2021-01-03 11:00:00,-0.0931,A
2021-01-03 12:00:00,0.1523,A
2021-01-03 13:00:00,0.6569,A
2021-01-03 14:00:00,0.7835,A
2021-01-03 15:00:00,1.0239,A
2021-01-03 16:00:00,0.9265,A
2021-01-03 17:00:00,0.8553,A
2021-01-03 18:00:00,0.8311,A
2021-01-03 19:00:00,0.5827,A
2021-01-03 20:00:00,0.2338,A
2021-01-03 21:00:00,0.3678,A
2021-01-03 22:00:00,-0.0003,A
2021-01-03 23:00:00,-0.2318,A
2021-01-04 00:00:00,-0.5331,A
2021-01-04 01:00:00,-0.5175,A
2021-01-04 02:00:00,-0.7591,A
2021-01-04 03:00:00,-0.5857,A
2021-01-04 04:00:00,-0.7152,A
2021-01-04 05:00:00,-0.4739,A
2021-01-04 06:00:00,-0.1919,A
2021-01-04 07:00:00,0.0677,A
2021-01-04 08:00:00,0.3011,A
2021-01-04 09:00:00,0.3814,A
2021-01-04 10:00:00,1.0736,A
2021-01-04 11:00:00,1.0480,A
2021-01-04 12:00:00,1.5624,A
2021-01-04 13:00:00,1.5342,A
2021-01-04 14:00:00,1.6400,A
2021-01-04 15:00:00,1.9690,A
2021-01-04 16:00:00,1.6931,A
2021-01-04 17:00:00,1.6014,A
2021-01-04 18:00:00,1.1250,A
2021-01-04 19:00:00,0.8865,A
2021-01-04 20:00:00,0.3846,A
2021-01-04 21:00:00,0.0742,A
2021-01-04 22:00:00,-0.4393,A
2021-01-04 23:00:00,-0.7118,A
2021-01-05 00:00:00,-1.2834,A
2021-01-05 01:00:00,-1.3660,A
2021-01-05 02:00:00,-1.8014,A
2021-01-05 03:00:00,-1.8125,A
2021-01-05 04:00:00,-2.0720,A
2021-01-05 05:00:00,-1.7771,A
2021-01-05 06:00:00,-1.6715,A
2021-01-05 07:00:00,-1.3671,A
2021-01-05 08:00:00,-1.1766,A
2021-01-05 09:00:00,-0.7295,A
2021-01-05 10:00:00,-0.4987,A
2021-01-05 11:00:00,-0.2292,A
2021-01-05 12:00:00,0.1933,A
2021-01-05 13:00:00,0.4663,A
2021-01-05 14:00:00,0.5659,A
2021-01-05 15:00:00,0.7124,A
2021-01-05 16:00:00,0.8280,A
2021-01-05 17:00:00,0.9077,A
2021-01-05 18:00:00,0.7610,A
2021-01-05 19:00:00,0.7167,A
2021-01-05 20:00:00,0.4843,A
2021-01-05 21:00:00,0.2186,A
2021-01-05 22:00:00,0.0558,A
2021-01-05 23:00:00,-0.1742,A
2021-01-06 00:00:00,-0.4846,A
2021-01-06 01:00:00,-0.6860,A
2021-01-06 02:00:00,-0.7624,A
2021-01-06 03:00:00,-0.6645,A
2021-01-06 04:00:00,-0.4388,A
2021-01-06 05:00:00,-0.3741,A
2021-01-06 06:00:00,-0.3186,A
2021-01-06 07:00:00,0.0277,A
2021-01-06 08:00:00,0.2412,A
2021-01-06 09:00:00,0.5037,A
2021-01-06 10:00:00,0.9774,A
2021-01-06 11:00:00,1.1316,A
2021-01-06 12:00:00,1.4632,A
2021-01-06 13:00:00,1.5141,A
2021-01-06 14:00:00,1.5481,A
2021-01-06 15:00:00,1.6766,A
2021-01-06 16:00:00,1.6539,A
2021-01-06 17:00:00,1.3527,A
2021-01-06 18:00:00,1.0780,A
2021-01-06 19:00:00,0.7592,A
2021-01-06 20:00:00,0.3509,A
2021-01-06 21:00:00,0.0534,A
2021-01-06 22:00:00,-0.4256,A
2021-01-06 23:00:00,-0.8468,A
2021-01-07 00:00:00,-1.4270,A
2021-01-07 01:00:00,-1.4515,A
2021-01-07 02:00:00,-1.6629,A
2021-01-07 03:00:00,-1.9128,A
2021-01-07 04:00:00,-2.0464,A
2021-01-07 05:00:00,-1.7418,A
2021-01-07 06:00:00,-1.7011,A
2021-01-07 07:00:00,-1.4619,A
2021-01-07 08:00:00,-1.1527,A
2021-01-07 09:00:00,-0.8758,A
2021-01-07 10:00:00,-0.4115,A
2021-01-07 11:00:00,-0.2389,A
2021-01-07 12:00:00,0.2922,A
2021-01-07 13:00:00,0.5642,A
2021-01-07 14:00:00,0.5885,A
2021-01-07 15:00:00,0.8070,A
2021-01-07 16:00:00,0.8585,A
2021-01-07 17:00:00,0.8056,A
2021-01-07 18:00:00,0.8029,A
2021-01-07 19:00:00,0.4337,A
2021-01-07 20:00:00,0.2596,A
2021-01-07 21:00:00,0.0122,A
2021-01-07 22:00:00,0.0052,A
2021-01-07 23:00:00,-0.4727,A
2021-01-08 00:00:00,-0.5511,A
2021-01-08 01:00:00,-0.5932,A
2021-01-08 02:00:00,-0.7505,A
2021-01-08 03:00:00,-0.4978,A
2021-01-08 04:00:00,-0.5051,A
2021-01-08 05:00:00,-0.3753,A
2021-01-08 06:00:00,-0.2440,A
2021-01-08 07:00:00,0.0095,A
2021-01-08 08:00:00,0.3692,A
2021-01-08 09:00:00,0.7807,A
2021-01-08 10:00:00,1.0135,A
2021-01-08 11:00:00,1.1805,A
2021-01-08 12:00:00,1.5927,A
2021-01-08 13:00:00,1.6855,A
2021-01-08 14:00:00,1.8593,A
2021-01-08 15:00:00,1.6850,A
2021-01-08 16:00:00,1.5527,A
2021-01-08 17:00:00,1.3677,A
2021-01-08 18:00:00,1.1558,A
2021-01-08 19:00:00,0.8158,A
2021-01-08 20:00:00,0.3267,A
2021-01-08 21:00:00,0.1822,A
2021-01-08 22:00:00,-0.4270,A
2021-01-08 23:00:00,-0.8917,A
2021-01-09 00:00:00,-1.3495,A
2021-01-09 01:00:00,-1.6403,A
2021-01-09 02:00:00,-1.8952,A
2021-01-09 03:00:00,-1.9084,A
2021-01-09 04:00:00,-1.8111,A
2021-01-09 05:00:00,-1.7865,A
2021-01-09 06:00:00,-1.7594,A
2021-01-09 07:00:00,-1.2197,A
2021-01-09 08:00:00,-1.3027,A
2021-01-09 09:00:00,-1.0029,A
2021-01-09 10:00:00,-0.5541,A
2021-01-09 11:00:00,0.0370,A
2021-01-09 12:00:00,0.1842,A
2021-01-09 13:00:00,0.4091,A
2021-01-09 14:00:00,0.5988,A
2021-01-09 15:00:00,0.9457,A
2021-01-09 16:00:00,1.0123,A
2021-01-09 17:00:00,0.8828,A
2021-01-09 18:00:00,1.0167,A
2021-01-09 19:00:00,0.6306,A
2021-01-09 20:00:00,0.3671,A
2021-01-09 21:00:00,0.2454,A
2021-01-09 22:00:00,0.0181,A
2021-01-09 23:00:00,-0.3464,A
2021-01-10 00:00:00,-0.6185,A
2021-01-10 01:00:00,-0.7742,A
2021-01-10 02:00:00,-0.5466,A
2021-01-10 03:00:00,-0.5486,A
2021-01-10 04:00:00,-0.8054,A
2021-01-10 05:00:00,-0.2890,A
2021-01-10 06:00:00,-0.3267,A
2021-01-10 07:00:00,0.1067,A
2021-01-10 08:00:00,0.2948,A
2021-01-10 09:00:00,0.6168,A
2021-01-10 10:00:00,1.0536,A
2021-01-10 11:00:00,1.2386,A
2021-01-10 12:00:00,1.5251,A
2021-01-10 13:00:00,1.5295,A
2021-01-10 14:00:00,1.8007,A
2021-01-10 15:00:00,1.7723,A
2021-01-10 16:00:00,1.6541,A
2021-01-10 17:00:00,1.3049,A
2021-01-10 18:00:00,1.0579,A
2021-01-10 19:00:00,0.7328,A
2021-01-10 20:00:00,0.4957,A
2021-01-10 21:00:00,-0.1209,A
2021-01-10 22:00:00,-0.5072,A
2021-01-10 23:00:00,-0.6661,A
